id;nom;durée;style;niveau;audience;objectif;description
full_body;Full body intelligent;45 min;équilibré;;;remise_forme;Séance complète : pousser, tirer, jambes, gainage, cardio léger.
mobilite_recovery;Mobilité / récupération;20–40 min;prévention;;;bien_etre;Mobilité, récupération, posture, prévention.
stretching;Étirements / stretching;15–45 min;souplesse;;;bien_etre;Assouplissement, respiration, retour au calme.
stretching_avance_v40;Stretching Avancé;45–70 min;stretching;;;bien_etre;Stretching format avancé : souplesse, adapté 45–70 min.
stretching_bas_corps_v40;Stretching Bas du corps;35–55 min;stretching;;;bien_etre;Stretching format bas du corps : souplesse, adapté 35–55 min.
stretching_boxe_v40;Stretching Boxe;30–45 min;stretching;;;bien_etre;Stretching format boxe : souplesse, adapté 30–45 min.
stretching_core_v40;Stretching Core;20–35 min;stretching;;;bien_etre;Stretching format core : souplesse, adapté 20–35 min.
stretching_debutant_v40;Stretching Débutant;30–40 min;stretching;;;bien_etre;Stretching format débutant : souplesse, adapté 30–40 min.
stretching_exterieur_v40;Stretching Extérieur;25–45 min;stretching;;;bien_etre;Stretching format extérieur : souplesse, adapté 25–45 min.
stretching_groupe_v40;Stretching Groupe;30–45 min;stretching;;;bien_etre;Stretching format groupe : souplesse, adapté 30–45 min.
stretching_haut_corps_v40;Stretching Haut du corps;35–55 min;stretching;;;bien_etre;Stretching format haut du corps : souplesse, adapté 35–55 min.
stretching_intermediaire_v40;Stretching Intermédiaire;40–55 min;stretching;;;bien_etre;Stretching format intermédiaire : souplesse, adapté 40–55 min.
stretching_solo_v40;Stretching Solo;35–60 min;stretching;;;bien_etre;Stretching format solo : souplesse, adapté 35–60 min.
boxe_avance_v40;Boxe cardio Avancé;45–70 min;boxe;;;remise_forme;Boxe cardio format avancé : rounds, adapté 45–70 min.
boxe_bas_corps_v40;Boxe cardio Bas du corps;35–55 min;boxe;;;remise_forme;Boxe cardio format bas du corps : rounds, adapté 35–55 min.
boxe_boxe_v40;Boxe cardio Boxe;30–45 min;boxe;;;remise_forme;Boxe cardio format boxe : rounds, adapté 30–45 min.
boxe_core_v40;Boxe cardio Core;20–35 min;boxe;;;remise_forme;Boxe cardio format core : rounds, adapté 20–35 min.
boxe_debutant_v40;Boxe cardio Débutant;30–40 min;boxe;;;remise_forme;Boxe cardio format débutant : rounds, adapté 30–40 min.
boxe_exterieur_v40;Boxe cardio Extérieur;25–45 min;boxe;;;remise_forme;Boxe cardio format extérieur : rounds, adapté 25–45 min.
boxe_groupe_v40;Boxe cardio Groupe;30–45 min;boxe;;;remise_forme;Boxe cardio format groupe : rounds, adapté 30–45 min.
boxe_haut_corps_v40;Boxe cardio Haut du corps;35–55 min;boxe;;;remise_forme;Boxe cardio format haut du corps : rounds, adapté 35–55 min.
boxe_cardio_intense;Boxe cardio intense;30–50 min;boxe;;;perte_poids;Rounds, frappes, cardio.
boxe_intermediaire_v40;Boxe cardio Intermédiaire;40–55 min;boxe;;;remise_forme;Boxe cardio format intermédiaire : rounds, adapté 40–55 min.
boxe_solo_v40;Boxe cardio Solo;35–60 min;boxe;;;remise_forme;Boxe cardio format solo : rounds, adapté 35–60 min.
boxe_debutant;Boxe débutant;25–40 min;boxe;;;performance;Garde, appuis, directs, cardio doux.
cardio_boxing;Cardio boxing;25–45 min;boxe fitness;;;perte_poids;Boxe sans opposition, cardio, fun et accessible.
boxe_cardio;Boxe cardio;30–55 min;frappes / appuis;;;performance;Appuis, frappes, coordination, cardio, gainage.
circuit_training_avance_v40;Circuit Avancé;45–70 min;circuit_training;;;remise_forme;Circuit format avancé : ateliers, adapté 45–70 min.
circuit_training_bas_corps_v40;Circuit Bas du corps;35–55 min;circuit_training;;;remise_forme;Circuit format bas du corps : ateliers, adapté 35–55 min.
circuit_training_boxe_v40;Circuit Boxe;30–45 min;circuit_training;;;remise_forme;Circuit format boxe : ateliers, adapté 30–45 min.
circuit_training_core_v40;Circuit Core;20–35 min;circuit_training;;;remise_forme;Circuit format core : ateliers, adapté 20–35 min.
circuit_debutant;Circuit débutant;25–35 min;circuit_training;;;remise_forme;Ateliers faciles à comprendre.
circuit_training_debutant_v40;Circuit Débutant;30–40 min;circuit_training;;;remise_forme;Circuit format débutant : ateliers, adapté 30–40 min.
circuit_training_exterieur_v40;Circuit Extérieur;25–45 min;circuit_training;;;remise_forme;Circuit format extérieur : ateliers, adapté 25–45 min.
circuit_groupe;Circuit groupe;30–45 min;circuit_training;;;performance;Rotation par postes, parfait animation.
circuit_training_groupe_v40;Circuit Groupe;30–45 min;circuit_training;;;remise_forme;Circuit format groupe : ateliers, adapté 30–45 min.
circuit_training_haut_corps_v40;Circuit Haut du corps;35–55 min;circuit_training;;;remise_forme;Circuit format haut du corps : ateliers, adapté 35–55 min.
circuit_training_intermediaire_v40;Circuit Intermédiaire;40–55 min;circuit_training;;;remise_forme;Circuit format intermédiaire : ateliers, adapté 40–55 min.
circuit_training_solo_v40;Circuit Solo;35–60 min;circuit_training;;;remise_forme;Circuit format solo : ateliers, adapté 35–60 min.
emom;EMOM;10–30 min;chaque minute;;;performance;Chaque minute, réaliser une tâche précise puis récupérer.
for_time;For Time;10–40 min;contre la montre;;;performance;Terminer un travail défini le plus vite possible en sécurité.
amrap;AMRAP;10–30 min;max tours;;;performance;Faire le maximum de tours ou répétitions dans un temps donné.
crossfit_avance_v40;CrossFit style Avancé;45–70 min;crossfit;;;performance;CrossFit style format avancé : WOD technique, adapté 45–70 min.
crossfit_bas_corps_v40;CrossFit style Bas du corps;35–55 min;crossfit;;;performance;CrossFit style format bas du corps : WOD technique, adapté 35–55 min.
crossfit_boxe_v40;CrossFit style Boxe;30–45 min;crossfit;;;performance;CrossFit style format boxe : WOD technique, adapté 30–45 min.
crossfit_core_v40;CrossFit style Core;20–35 min;crossfit;;;performance;CrossFit style format core : WOD technique, adapté 20–35 min.
crossfit_debutant_v40;CrossFit style Débutant;30–40 min;crossfit;;;performance;CrossFit style format débutant : WOD technique, adapté 30–40 min.
crossfit_exterieur_v40;CrossFit style Extérieur;25–45 min;crossfit;;;performance;CrossFit style format extérieur : WOD technique, adapté 25–45 min.
crossfit_groupe_v40;CrossFit style Groupe;30–45 min;crossfit;;;performance;CrossFit style format groupe : WOD technique, adapté 30–45 min.
crossfit_haut_corps_v40;CrossFit style Haut du corps;35–55 min;crossfit;;;performance;CrossFit style format haut du corps : WOD technique, adapté 35–55 min.
crossfit_intermediaire_v40;CrossFit style Intermédiaire;40–55 min;crossfit;;;performance;CrossFit style format intermédiaire : WOD technique, adapté 40–55 min.
crossfit_solo_v40;CrossFit style Solo;35–60 min;crossfit;;;performance;CrossFit style format solo : WOD technique, adapté 35–60 min.
exterieur_parc;Extérieur parc;25–45 min;exterieur;;;remise_forme;Séance sans salle, adaptable parc ou terrain.
tabata;Tabata;4–20 min;20/10;;;perte_poids;20 secondes effort, 10 secondes repos, très intense.
circuit_training;Circuit training;25–45 min;circuit;;;perte_poids;Enchaînement d’exercices avec peu de repos.
hiit;HIIT;18–30 min;intervalles intenses;;;perte_poids;Alternance effort intense / récupération courte.
crossfit;CrossFit style;20–60 min;WOD technique;;;performance;Mouvements fonctionnels, intensité, formats WOD.
cross_training;CrossTraining / WOD;20–60 min;fonctionnel;;;performance;Efforts variés, cardio et renfo fonctionnel.
hyrox;Hyrox;45–90 min;stations endurance;;;performance;Rameur, ski erg, sled, carries, wall ball, endurance.
full_body_athlete;Full body athlète;45–70 min;full_body;;;performance;Séance complète plus exigeante.
