id;nom;type;photo;avatar;card;muscles;conseil;erreur
mix_001;Développé couché barre;push;assets/exercices/photos/developpe_couche_barre.jpg;assets/exercices/avatar/developpe_couche_barre_posture.png;assets/exercices/cards/developpe_couche_barre_card.png;pectoraux, triceps, épaules;Poitrine sortie, omoplates serrées, pieds ancrés.;Barre trop haute, rebond sur la poitrine, poignets cassés.
mix_002;Développé incliné haltères;push;assets/exercices/photos/developpe_incline_halteres.jpg;assets/exercices/avatar/developpe_incline_halteres_posture.png;assets/exercices/cards/developpe_incline_halteres_card.png;haut pectoraux, triceps, épaules;Contrôle la descente, garde les coudes sous les poignets.;Descendre trop vite, ouvrir les coudes à 90°.
mix_003;Développé militaire;push;assets/exercices/photos/developpe_militaire.jpg;assets/exercices/avatar/developpe_militaire_posture.png;assets/exercices/cards/developpe_militaire_card.png;épaules, triceps, gainage;Fessiers serrés, côtes basses, barre proche du visage.;Cambrer fort, pousser vers l’avant.
mix_004;Dips;push;assets/exercices/photos/dips.jpg;assets/exercices/avatar/dips_posture.png;assets/exercices/cards/dips_card.png;triceps, pectoraux, épaules;Descends contrôlé, épaules basses, buste stable.;Descendre trop bas si douleur épaule.
mix_005;Pompes classiques;push;assets/exercices/photos/pompes_classiques.jpg;assets/exercices/avatar/pompes_classiques_posture.png;assets/exercices/cards/pompes_classiques_card.png;pectoraux, triceps, gainage;Corps aligné, mains sous épaules, descente contrôlée.;Bassin qui tombe, coudes trop ouverts.
mix_006;Pompes inclinées;push;assets/exercices/photos/pompes_inclinees.jpg;assets/exercices/avatar/pompes_inclinees_posture.png;assets/exercices/cards/pompes_inclinees_card.png;pectoraux, triceps;Même alignement qu’une pompe, support stable.;Casser la nuque, perdre le gainage.
mix_007;Pompes déclinées;push;assets/exercices/photos/pompes_declinees.jpg;assets/exercices/avatar/pompes_declinees_posture.png;assets/exercices/cards/pompes_declinees_card.png;haut pectoraux, épaules, triceps;Pieds surélevés, corps gainé, mains stables.;Creuser le bas du dos.
mix_008;Élévations latérales;push;assets/exercices/photos/elevations_laterales.jpg;assets/exercices/avatar/elevations_laterales_posture.png;assets/exercices/cards/elevations_laterales_card.png;épaules;Monte jusqu’à ligne d’épaule, coudes souples.;Balancer le corps, monter trop haut.
mix_009;Élévations frontales;push;assets/exercices/photos/elevations_frontales.jpg;assets/exercices/avatar/elevations_frontales_posture.png;assets/exercices/cards/elevations_frontales_card.png;épaules;Bras contrôlés, gainage actif, pas d’élan.;Cambrer et tirer avec le dos.
mix_010;Extensions triceps poulie;push;assets/exercices/photos/extensions_triceps_poulie.jpg;assets/exercices/avatar/extensions_triceps_poulie_posture.png;assets/exercices/cards/extensions_triceps_poulie_card.png;triceps;Coudes fixes, épaules basses, extension complète.;Bouger les coudes, se pencher trop.
mix_011;Extensions triceps haltère;push;assets/exercices/photos/extensions_triceps_haltere.jpg;assets/exercices/avatar/extensions_triceps_haltere_posture.png;assets/exercices/cards/extensions_triceps_haltere_card.png;triceps;Coudes serrés, mouvement lent derrière la tête.;Écarter les coudes, cambrer.
mix_012;Développé Arnold;push;assets/exercices/photos/developpe_arnold.jpg;assets/exercices/avatar/developpe_arnold_posture.png;assets/exercices/cards/developpe_arnold_card.png;épaules, triceps;Rotation fluide, charge modérée, gainage.;Forcer la rotation avec charge lourde.
mix_013;Tractions pronation;pull;assets/exercices/photos/tractions_pronation.jpg;assets/exercices/avatar/tractions_pronation_posture.png;assets/exercices/cards/tractions_pronation_card.png;dos, biceps;Poitrine vers la barre, épaules basses, contrôle.;Tirer avec le cou, balancer les jambes.
mix_014;Tractions supination;pull;assets/exercices/photos/tractions_supination.jpg;assets/exercices/avatar/tractions_supination_posture.png;assets/exercices/cards/tractions_supination_card.png;dos, biceps;Garde le buste stable, contrôle la descente.;Demi-amplitude, épaules qui remontent.
mix_015;Tirage horizontal;pull;assets/exercices/photos/tirage_horizontal.jpg;assets/exercices/avatar/tirage_horizontal_posture.png;assets/exercices/cards/tirage_horizontal_card.png;dos, biceps, arrière épaules;Tire les coudes vers l’arrière, poitrine haute.;Arrondir le dos, tirer avec les bras seuls.
mix_016;Rowing barre;pull;assets/exercices/photos/rowing_barre.jpg;assets/exercices/avatar/rowing_barre_posture.png;assets/exercices/cards/rowing_barre_card.png;dos, trapèzes, biceps;Dos neutre, charnière hanche, barre vers nombril.;Arrondir lombaires, donner de l’élan.
mix_017;Rowing haltère;pull;assets/exercices/photos/rowing_haltere.jpg;assets/exercices/avatar/rowing_haltere_posture.png;assets/exercices/cards/rowing_haltere_card.png;dos, biceps;Appui stable, coude vers hanche, dos plat.;Tourner le buste excessivement.
mix_018;Face pull;pull;assets/exercices/photos/face_pull.jpg;assets/exercices/avatar/face_pull_posture.png;assets/exercices/cards/face_pull_card.png;arrière épaules, trapèzes;Tire vers le visage, coudes hauts, contrôle.;Cambrer, tirer trop bas.
mix_019;Curl barre;pull;assets/exercices/photos/curl_barre.jpg;assets/exercices/avatar/curl_barre_posture.png;assets/exercices/cards/curl_barre_card.png;biceps;Coudes fixes, montée contrôlée, descente lente.;Balancer le dos, épaules en avant.
mix_020;Curl haltères;pull;assets/exercices/photos/curl_halteres.jpg;assets/exercices/avatar/curl_halteres_posture.png;assets/exercices/cards/curl_halteres_card.png;biceps;Poignets neutres, amplitude complète.;Coude qui avance, charge trop lourde.
mix_021;Curl marteau;pull;assets/exercices/photos/curl_marteau.jpg;assets/exercices/avatar/curl_marteau_posture.png;assets/exercices/cards/curl_marteau_card.png;biceps, avant-bras;Paumes face à face, bras collés au buste.;Monter avec l’épaule.
mix_022;Reverse curl;pull;assets/exercices/photos/reverse_curl.jpg;assets/exercices/avatar/reverse_curl_posture.png;assets/exercices/cards/reverse_curl_card.png;avant-bras, biceps;Prise pronation, poignets solides.;Casser les poignets.
mix_023;Tirage vertical;pull;assets/exercices/photos/tirage_vertical.jpg;assets/exercices/avatar/tirage_vertical_posture.png;assets/exercices/cards/tirage_vertical_card.png;grand dorsal, biceps;Barre vers haut poitrine, épaules basses.;Tirer derrière la nuque.
mix_024;Shrugs;pull;assets/exercices/photos/shrugs.jpg;assets/exercices/avatar/shrugs_posture.png;assets/exercices/cards/shrugs_card.png;trapèzes;Monte les épaules verticalement, pause en haut.;Rouler les épaules.
